id,id,dist,x0,y0,z0,absmag,mag,vx,vy,vz,spect,sy_pnum
368,22,206.0839,134.244,0.164,-156.362,2.12,8.69,9.3933141302e-06,-7.22E-06,-8.20E-06,G,0
369,0,314.986,258.288,0.316,180.287,1.33,8.821,-1.74E-05,3.6001401757199994e-05,-2.15E-05,F,0
387,23,93.1977,90.693,0.118,21.459,2.723,7.57,-1.49E-05,2.41000696882e-05,8.503141503999999e-07,F,0
389,0,241.6041,39.144,0.051,-238.412,2.536,9.452,-1.82E-05,-8.51E-06,-1.53E-05,K,0
390,0,176.0144,142.539,0.186,-103.265,3.438,9.666,-3.57E-06,3.12500670394e-05,-5.45E-05,G,0
398,0,735.5994,363.896,0.48,639.285,-0.674,8.659,-2.07E-05,-2.47E-05,-4.86E-05,M,0
405,24,91.7304,84.152,0.112,-36.508,4.237,9.05,3.6782219078e-06,5.6880088991e-05,8.652355285199999e-06,G,0
416,0,193.9762,79.068,0.108,177.13,2.132,8.571,-4.81E-06,4.042569257099999e-05,-4.00E-06,A,0
420,25,81.367,58.243,0.081,-56.818,1.728,6.28,-2.77E-05,2.29676801706e-05,-3.28E-05,G,0
441,26,103.9258,101.099,0.148,-24.073,4.046,9.13,-7.56E-06,-5.05E-05,-1.45E-05,F,0
442,0,552.5367,480.38,0.705,273.005,0.644,9.356,-4.05E-05,5.664196014839999e-05,-1.85E-05,K,0
453,0,262.2144,143.375,0.213,219.545,1.494,8.587,-5.99E-06,4.00495920814e-05,8.472481137999999e-06,A,0
462,27,113.0959,84.968,0.127,-74.64,4.053,9.32,-7.08E-05,7.355932809499999e-05,-1.97E-05,G,0
469,28,227.5478,165.434,0.252,-156.235,2.045,8.83,-5.91E-06,-1.20E-05,-6.28E-06,F,0
470,0,1024.4332,580.878,0.891,843.826,-0.925,9.127,-1.17E-05,-1.43E-05,-4.24E-05,A,0
485,0,1040.6096,452.892,0.716,-936.886,-0.134,9.952,-6.55E-05,-1.53E-05,-5.64E-05,K,0
494,29,480.5638,314.594,0.506,-363.279,0.731,9.14,4.466193314e-06,6.273826292139999e-05,1.1026489625799998e-05,G,0
520,30,376.8465,279.428,0.469,252.85,0.379,8.26,-7.86E-06,-1.51E-05,-3.29E-05,A,0
523,0,505.884,342.59,0.579,372.223,0.89,9.41,4.168787763799999e-06,2.5872238843e-05,-1.94E-05,A,0
535,31,503.8106,503.261,0.862,23.517,-0.881,7.63,4.2147783128e-06,-3.07E-06,5.835689661999999e-07,K,0
538,32,1014.1238,625.2,1.076,798.481,-0.94,9.09,8.574682358e-06,-7.83E-06,-6.70E-06,B,0
540,33,112.6843,110.811,0.192,-20.462,2.841,8.1,-1.54E-05,-1.81E-06,1.88775873462e-05,F,0
543,34,62.3073,55.557,0.097,28.208,2.457,6.43,6.367136006e-07,1.34200421982e-05,-1.75E-05,F,0
549,0,636.4801,475.996,0.837,422.533,0.934,9.953,9.8327793762e-06,4.42725464918e-05,1.2563595974599998e-05,K,0
557,0,92.9022,91.734,0.164,-14.683,4.875,9.715,-2.99E-05,7.45292176728e-05,-3.06E-05,G,0
558,35,187.4506,181.487,0.326,-46.904,2.706,9.07,-5.69E-05,0.000149282,1.3493627076599998e-05,G,0
561,36,168.3134,164.47,0.297,35.762,1.549,7.68,-1.52E-05,4.34845750856e-05,8.2149340636e-06,K,0
562,0,537.4651,202.625,0.367,497.807,-0.524,8.128,-1.48E-06,-4.75E-06,6.08097259e-07,A,0
568,0,619.4321,283.856,0.519,550.565,0.988,9.948,6.0595103338e-06,-1.05E-05,-8.74E-06,B,0
573,0,438.0133,390.147,0.723,-199.099,1.649,9.856,-3.57E-05,-3.02E-05,-1.44E-05,G,0
608,39,86.8674,83.205,0.163,-24.958,2.766,7.46,-6.02E-06,7.052803990979999e-05,-1.15E-05,F,0
611,38,40.0972,7.608,0.015,-39.369,5.634,8.65,-1.00E-05,3.15331644188e-05,-1.22E-05,G,0
616,0,169.1577,144.651,0.287,87.694,1.978,8.119,2.00539233884e-05,2.16298662008e-05,-2.70E-05,K,0
620,0,175.121,140.336,0.281,104.752,2.902,9.119,6.612418933999999e-06,1.07996029174e-05,-1.81E-05,F,0
625,0,706.2999,251.51,0.507,-660.002,0.689,9.934,-9.59E-06,4.94367741384e-05,-8.38E-08,K,0
626,0,168.4805,168.479,0.34,0.603,3.227,9.36,2.30729474272e-05,1.79097417928e-05,3.701830389619999e-05,F,0
630,41,601.4489,350.95,0.714,488.44,-0.196,8.7,-7.56E-06,9.2655626052e-06,-1.32E-05,A,0
646,0,473.9825,309.157,0.643,359.279,1.22,9.599,4.3200455694e-06,-7.71E-06,-3.70E-06,A,0
654,0,163.1543,162.283,0.341,16.832,3.638,9.701,-1.33E-05,4.04941673884e-05,-3.20E-05,G,0
666,0,121.5273,121.421,0.261,-5.067,4.024,9.447,2.5008638534e-05,1.1523187555e-05,-2.23E-05,G,0
672,0,86.4754,75.869,0.165,41.496,4.228,8.912,1.14710649328e-05,4.804479352199999e-06,-5.74E-06,K,0
681,42,163.3987,147.055,0.322,71.231,2.134,8.2,2.2106123886e-06,1.63920536758e-05,-4.64E-06,F,0
