pl_name,hip_name,sy_pnum
BD-06 1339 b,HIP 27803,2
BD-06 1339 c,HIP 27803,2
BD-08 2823 b,HIP 49067,2
BD-08 2823 b,HIP 49067,2
BD-08 2823 c,HIP 49067,2
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-10 3166 b,,1
BD-11 4672 b,HIP 90979,2
BD-11 4672 b,HIP 90979,2
BD-11 4672 c,HIP 90979,2
BD-13 2130 b,,1
BD-13 2130 b,,1
BD-17 63 b,HIP 2247,1
BD-17 63 b,HIP 2247,1
BD-210397 b,HIP 10337,2
BD-210397 c,HIP 10337,2
BD-210397 c,HIP 10337,2
CD Cet b,,1
CFBDSIR J145829+101343 b,,1
CFHTWIR-Oph 98 b,,1
CHXR 73 b,,1
CI Tau c,,1
COCONUTS-2 b,,1
CT Cha b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-1 b,,1
CoRoT-10 b,,1
CoRoT-10 b,,1
CoRoT-10 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-11 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-12 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-13 b,,1
CoRoT-14 b,,1
CoRoT-14 b,,1
CoRoT-14 b,,1
CoRoT-16 b,,1
CoRoT-16 b,,1
CoRoT-17 b,,1
CoRoT-17 b,,1
CoRoT-17 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-18 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
CoRoT-19 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-2 b,,1
CoRoT-20 b,,2
CoRoT-20 b,,2
CoRoT-20 b,,2
CoRoT-20 b,,2
CoRoT-20 b,,2
CoRoT-20 b,,2
CoRoT-20 c,,2
CoRoT-21 b,,1
CoRoT-21 b,,1
CoRoT-22 b,,1
CoRoT-23 b,,1
CoRoT-23 b,,1
CoRoT-23 b,,1
CoRoT-24 b,,2
CoRoT-24 c,,2
CoRoT-25 b,,1
CoRoT-25 b,,1
CoRoT-26 b,,1
CoRoT-26 b,,1
CoRoT-27 b,,1
CoRoT-27 b,,1
CoRoT-28 b,,1
CoRoT-28 b,,1
CoRoT-29 b,,1
CoRoT-29 b,,1
CoRoT-29 b,,1
CoRoT-3 b,,1
CoRoT-3 b,,1
CoRoT-3 b,,1
CoRoT-3 b,,1
CoRoT-3 b,,1
CoRoT-30 b,,1
CoRoT-31 b,,1
CoRoT-35 b,,1
CoRoT-36 b,,1
CoRoT-4 b,,1
CoRoT-4 b,,1
CoRoT-4 b,,1
CoRoT-4 b,,1
CoRoT-5 b,,1
CoRoT-5 b,,1
CoRoT-5 b,,1
CoRoT-5 b,,1
CoRoT-5 b,,1
CoRoT-5 b,,1
CoRoT-6 b,,1
CoRoT-6 b,,1
CoRoT-6 b,,1
CoRoT-6 b,,1
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 b,,3
CoRoT-7 c,,3
CoRoT-7 c,,3
CoRoT-7 c,,3
CoRoT-7 d,,3
CoRoT-8 b,,1
CoRoT-8 b,,1
CoRoT-8 b,,1
CoRoT-8 b,,1
CoRoT-9 b,,1
CoRoT-9 b,,1
CoRoT-9 b,,1
CoRoT-9 b,,1
CoRoT-9 b,,1
CoRoTID 223977153 b,,1
CoRoTID 223977153 b,,1
DE CVn b,,1
DENIS-P J082303.1-491201 b,,1
DH Tau b,,1
DH Tau b,,1
DMPP-1 b,HIP 27305,4
DMPP-1 c,HIP 27305,4
DMPP-1 d,HIP 27305,4
DMPP-1 e,HIP 27305,4
DMPP-2 b,HIP 8501,1
DMPP-3 A b,HIP 28941,1
DMPP-3 A b,HIP 28941,1
DMPP-4 b,HIP 96258,1
DP Leo b,,1
DP Leo b,,1
DS Tuc A b,HIP 116748 A,1
DS Tuc A b,HIP 116748 A,1
DS Tuc A b,HIP 116748 A,1
EPIC 201170410.02,,1
EPIC 201238110 b,,1
EPIC 201238110 b,,1
EPIC 201427007 b,,1
EPIC 201497682 b,,1
EPIC 201595106 b,,1
EPIC 201595106 b,,1
EPIC 201595106 b,,1
EPIC 201615463 c,,2
EPIC 201754305 d,,3
EPIC 201757695.02,,1
EPIC 201833600 c,,2
EPIC 201833600 c,,2
EPIC 201841433 b,,1
EPIC 201841433 b,,1
EPIC 201841433 b,,1
EPIC 205950854 c,,2
EPIC 205950854 c,,2
EPIC 205950854 c,,2
EPIC 206024342 b,,3
EPIC 206024342 b,,3
EPIC 206024342 c,,3
EPIC 206024342 c,,3
EPIC 206024342 c,,3
EPIC 206024342 d,,3
EPIC 206024342 d,,3
EPIC 206024342 d,,3
EPIC 206024342 d,,3
EPIC 206032309 b,,1
EPIC 206042996 b,,2
EPIC 206042996 b,,2
EPIC 206042996 b,,2
EPIC 206042996 c,,2
EPIC 206042996 c,,2
EPIC 206215704 b,,1
EPIC 206215704 b,,1
EPIC 206215704 b,,1
EPIC 206317286 b,,2
EPIC 206317286 b,,2
EPIC 206317286 c,,2
EPIC 206317286 c,,2
EPIC 206317286 c,,2
EPIC 211822797 b,,1
EPIC 211822797 b,,1
EPIC 211822797 b,,1
EPIC 211822797 b,,1
EPIC 211822797 b,,1
EPIC 211822797 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 211945201 b,,1
EPIC 212297394 b,,2
EPIC 212297394 b,,2
EPIC 212297394 b,,2
EPIC 212297394 c,,2
EPIC 212297394 c,,2
EPIC 212297394 c,,2
EPIC 212424622 b,,1
EPIC 212424622 b,,1
EPIC 212499991 b,,1
EPIC 212587672 b,,2
EPIC 212587672 b,,2
EPIC 212587672 b,,2
EPIC 212587672 c,,2
EPIC 212587672 c,,2
EPIC 212587672 c,,2
EPIC 212587672 c,,2
EPIC 212587672 c,,2
EPIC 212587672 c,,2
EPIC 212624936 b,,2
EPIC 212624936 c,,2
EPIC 212624936 c,,2
EPIC 212737443 b,,2
EPIC 212737443 b,,2
EPIC 212737443 b,,2
EPIC 212737443 c,,2
EPIC 220492298 b,,1
EPIC 220554210 c,,2
EPIC 220554210 c,,2
EPIC 220554210 c,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 b,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 220674823 c,,2
EPIC 228836835 b,,1
EPIC 228836835 b,,1
EPIC 229004835 b,,1
EPIC 229004835 b,,1
EPIC 229004835 b,,1
EPIC 246851721 b,,1
EPIC 246851721 b,,1
EPIC 246851721 b,,1
EPIC 248847494 b,,1
EPIC 249893012 b,,3
EPIC 249893012 c,,3
EPIC 249893012 d,,3
FU Tau b,,1
G 264-012 b,,2
G 264-012 c,,2
G 9-40 b,,1
G 9-40 b,,1
G 9-40 b,,1
G 9-40 b,,1
GJ 1002 b,,2
GJ 1002 c,,2
GJ 1061 b,,3
